date,game_pk,away_score,away_team,home_team,home_score,win_team,lose_team,win_score,lose_score
2025-03-18,778563,4,Los Angeles Dodgers,Chicago Cubs,1,Los Angeles Dodgers,Chicago Cubs,4,1
2025-03-19,778564,6,Los Angeles Dodgers,Chicago Cubs,3,Los Angeles Dodgers,Chicago Cubs,6,3
2025-03-27,778557,2,Milwaukee Brewers,New York Yankees,4,New York Yankees,Milwaukee Brewers,4,2
2025-03-27,778556,12,Baltimore Orioles,Toronto Blue Jays,2,Baltimore Orioles,Toronto Blue Jays,12,2
2025-03-27,778553,5,Boston Red Sox,Texas Rangers,2,Boston Red Sox,Texas Rangers,5,2
2025-03-27,778555,7,Philadelphia Phillies,Washington Nationals,3,Philadelphia Phillies,Washington Nationals,7,3
2025-03-27,778558,7,Cleveland Guardians,Kansas City Royals,4,Cleveland Guardians,Kansas City Royals,7,4
2025-03-27,778559,1,New York Mets,Houston Astros,3,Houston Astros,New York Mets,3,1
2025-03-27,778561,6,San Francisco Giants,Cincinnati Reds,4,San Francisco Giants,Cincinnati Reds,6,4
2025-03-27,778545,4,Atlanta Braves,San Diego Padres,7,San Diego Padres,Atlanta Braves,7,4
2025-03-27,778554,1,Los Angeles Angels,Chicago White Sox,8,Chicago White Sox,Los Angeles Angels,8,1
2025-03-27,778562,4,Pittsburgh Pirates,Miami Marlins,5,Miami Marlins,Pittsburgh Pirates,5,4
2025-03-27,778551,3,Minnesota Twins,St. Louis Cardinals,5,St. Louis Cardinals,Minnesota Twins,5,3
2025-03-27,778546,4,Detroit Tigers,Los Angeles Dodgers,5,Los Angeles Dodgers,Detroit Tigers,5,4
2025-03-27,778552,10,Chicago Cubs,Arizona Diamondbacks,6,Chicago Cubs,Arizona Diamondbacks,10,6
2025-03-27,778547,2,Athletics,Seattle Mariners,4,Seattle Mariners,Athletics,4,2
2025-03-28,778560,2,Colorado Rockies,Tampa Bay Rays,3,Tampa Bay Rays,Colorado Rockies,3,2
2025-03-28,778549,2,Baltimore Orioles,Toronto Blue Jays,8,Toronto Blue Jays,Baltimore Orioles,8,2
2025-03-28,778548,4,Pittsburgh Pirates,Miami Marlins,3,Pittsburgh Pirates,Miami Marlins,4,3
2025-03-28,778550,1,Boston Red Sox,Texas Rangers,4,Texas Rangers,Boston Red Sox,4,1
2025-03-28,778518,3,New York Mets,Houston Astros,1,New York Mets,Houston Astros,3,1
2025-03-28,778543,1,Chicago Cubs,Arizona Diamondbacks,8,Arizona Diamondbacks,Chicago Cubs,8,1
2025-03-28,778541,7,Athletics,Seattle Mariners,0,Athletics,Seattle Mariners,7,0
2025-03-28,778542,3,Atlanta Braves,San Diego Padres,4,San Diego Padres,Atlanta Braves,4,3
2025-03-28,778544,5,Detroit Tigers,Los Angeles Dodgers,8,Los Angeles Dodgers,Detroit Tigers,8,5
2025-03-29,778538,9,Milwaukee Brewers,New York Yankees,20,New York Yankees,Milwaukee Brewers,20,9
2025-03-29,778534,1,Los Angeles Angels,Chicago White Sox,0,Los Angeles Angels,Chicago White Sox,1,0
2025-03-29,778528,1,Minnesota Twins,St. Louis Cardinals,5,St. Louis Cardinals,Minnesota Twins,5,1
2025-03-29,778536,9,Baltimore Orioles,Toronto Blue Jays,5,Baltimore Orioles,Toronto Blue Jays,9,5
2025-03-29,778535,11,Philadelphia Phillies,Washington Nationals,6,Philadelphia Phillies,Washington Nationals,11,6
2025-03-29,778529,3,Cleveland Guardians,Kansas City Royals,4,Kansas City Royals,Cleveland Guardians,4,3
2025-03-29,778540,2,San Francisco Giants,Cincinnati Reds,3,Cincinnati Reds,San Francisco Giants,3,2
2025-03-29,778537,2,Colorado Rockies,Tampa Bay Rays,1,Colorado Rockies,Tampa Bay Rays,2,1
2025-03-29,778539,4,Pittsburgh Pirates,Miami Marlins,5,Miami Marlins,Pittsburgh Pirates,5,4
2025-03-29,778531,3,Boston Red Sox,Texas Rangers,4,Texas Rangers,Boston Red Sox,4,3
2025-03-29,778530,1,New York Mets,Houston Astros,2,Houston Astros,New York Mets,2,1
2025-03-29,778520,0,Atlanta Braves,San Diego Padres,1,San Diego Padres,Atlanta Braves,1,0
2025-03-29,778532,4,Chicago Cubs,Arizona Diamondbacks,3,Chicago Cubs,Arizona Diamondbacks,4,3
2025-03-29,778533,3,Detroit Tigers,Los Angeles Dodgers,7,Los Angeles Dodgers,Detroit Tigers,7,3
2025-03-29,778521,4,Athletics,Seattle Mariners,2,Athletics,Seattle Mariners,4,2
2025-03-30,778526,1,Philadelphia Phillies,Washington Nationals,5,Washington Nationals,Philadelphia Phillies,5,1
2025-03-30,778523,3,Milwaukee Brewers,New York Yankees,12,New York Yankees,Milwaukee Brewers,12,3
2025-03-30,778525,1,Baltimore Orioles,Toronto Blue Jays,3,Toronto Blue Jays,Baltimore Orioles,3,1
2025-03-30,778522,6,San Francisco Giants,Cincinnati Reds,3,San Francisco Giants,Cincinnati Reds,6,3
2025-03-30,778524,4,Colorado Rockies,Tampa Bay Rays,6,Tampa Bay Rays,Colorado Rockies,6,4
2025-03-30,778519,2,Pittsburgh Pirates,Miami Marlins,3,Miami Marlins,Pittsburgh Pirates,3,2
2025-03-30,778510,6,Cleveland Guardians,Kansas City Royals,2,Cleveland Guardians,Kansas City Royals,6,2
2025-03-30,778527,3,Los Angeles Angels,Chicago White Sox,2,Los Angeles Angels,Chicago White Sox,3,2
2025-03-30,778517,2,Minnesota Twins,St. Louis Cardinals,9,St. Louis Cardinals,Minnesota Twins,9,2
2025-03-30,778516,2,Boston Red Sox,Texas Rangers,3,Texas Rangers,Boston Red Sox,3,2
2025-03-30,778515,6,Chicago Cubs,Arizona Diamondbacks,10,Arizona Diamondbacks,Chicago Cubs,10,6
2025-03-30,778513,1,Athletics,Seattle Mariners,2,Seattle Mariners,Athletics,2,1
2025-03-30,778514,0,Atlanta Braves,San Diego Padres,5,San Diego Padres,Atlanta Braves,5,0
2025-03-31,778506,0,Minnesota Twins,Chicago White Sox,9,Chicago White Sox,Minnesota Twins,9,0
2025-03-31,778504,11,Kansas City Royals,Milwaukee Brewers,1,Kansas City Royals,Milwaukee Brewers,11,1
2025-03-31,778512,5,Boston Red Sox,Baltimore Orioles,8,Baltimore Orioles,Boston Red Sox,8,5
2025-03-31,778502,1,Colorado Rockies,Philadelphia Phillies,6,Philadelphia Phillies,Colorado Rockies,6,1
2025-03-31,778511,3,Texas Rangers,Cincinnati Reds,14,Cincinnati Reds,Texas Rangers,14,3
2025-03-31,778509,10,New York Mets,Miami Marlins,4,New York Mets,Miami Marlins,10,4
2025-03-31,778508,1,Pittsburgh Pirates,Tampa Bay Rays,6,Tampa Bay Rays,Pittsburgh Pirates,6,1
2025-03-31,778507,2,Washington Nationals,Toronto Blue Jays,5,Toronto Blue Jays,Washington Nationals,5,2
2025-03-31,778503,5,Los Angeles Angels,St. Louis Cardinals,4,Los Angeles Angels,St. Louis Cardinals,5,4
2025-03-31,778505,7,San Francisco Giants,Houston Astros,2,San Francisco Giants,Houston Astros,7,2
2025-03-31,778499,2,Cleveland Guardians,San Diego Padres,7,San Diego Padres,Cleveland Guardians,7,2
2025-03-31,778496,9,Detroit Tigers,Seattle Mariners,6,Detroit Tigers,Seattle Mariners,9,6
2025-03-31,778501,18,Chicago Cubs,Athletics,3,Chicago Cubs,Athletics,18,3
2025-03-31,778500,1,Atlanta Braves,Los Angeles Dodgers,6,Los Angeles Dodgers,Atlanta Braves,6,1
2025-04-01,778498,1,Texas Rangers,Cincinnati Reds,0,Texas Rangers,Cincinnati Reds,1,0
2025-04-01,778497,2,New York Mets,Miami Marlins,4,Miami Marlins,New York Mets,4,2
2025-04-01,778493,0,Pittsburgh Pirates,Tampa Bay Rays,7,Tampa Bay Rays,Pittsburgh Pirates,7,0
2025-04-01,778492,7,Arizona Diamondbacks,New York Yankees,5,Arizona Diamondbacks,New York Yankees,7,5
2025-04-01,778491,3,Washington Nationals,Toronto Blue Jays,5,Toronto Blue Jays,Washington Nationals,5,3
2025-04-01,778490,8,Minnesota Twins,Chicago White Sox,3,Minnesota Twins,Chicago White Sox,8,3
2025-04-01,778488,0,Kansas City Royals,Milwaukee Brewers,5,Milwaukee Brewers,Kansas City Royals,5,0
2025-04-01,778495,9,Los Angeles Angels,St. Louis Cardinals,7,Los Angeles Angels,St. Louis Cardinals,9,7
2025-04-01,778489,3,San Francisco Giants,Houston Astros,1,San Francisco Giants,Houston Astros,3,1
2025-04-01,778485,0,Cleveland Guardians,San Diego Padres,7,San Diego Padres,Cleveland Guardians,7,0
2025-04-01,778486,4,Detroit Tigers,Seattle Mariners,1,Detroit Tigers,Seattle Mariners,4,1
2025-04-01,778494,7,Chicago Cubs,Athletics,4,Chicago Cubs,Athletics,7,4
2025-04-01,778487,1,Atlanta Braves,Los Angeles Dodgers,3,Los Angeles Dodgers,Atlanta Braves,3,1
2025-04-02,778480,1,Texas Rangers,Cincinnati Reds,0,Texas Rangers,Cincinnati Reds,1,0
2025-04-02,778479,4,Pittsburgh Pirates,Tampa Bay Rays,2,Pittsburgh Pirates,Tampa Bay Rays,4,2
2025-04-02,778477,2,Kansas City Royals,Milwaukee Brewers,3,Milwaukee Brewers,Kansas City Royals,3,2
2025-04-02,778473,5,Los Angeles Angels,St. Louis Cardinals,12,St. Louis Cardinals,Los Angeles Angels,12,5
2025-04-02,778474,6,Minnesota Twins,Chicago White Sox,1,Minnesota Twins,Chicago White Sox,6,1
2025-04-02,778478,2,Washington Nationals,Toronto Blue Jays,4,Toronto Blue Jays,Washington Nationals,4,2
2025-04-02,778471,10,Chicago Cubs,Athletics,2,Chicago Cubs,Athletics,10,2
2025-04-02,778476,2,Cleveland Guardians,San Diego Padres,5,San Diego Padres,Cleveland Guardians,5,2
2025-04-02,778469,2,Detroit Tigers,Seattle Mariners,3,Seattle Mariners,Detroit Tigers,3,2
2025-04-02,778475,6,San Francisco Giants,Houston Astros,3,San Francisco Giants,Houston Astros,6,3
2025-04-02,778481,6,New York Mets,Miami Marlins,5,New York Mets,Miami Marlins,6,5
2025-04-02,778483,3,Boston Red Sox,Baltimore Orioles,0,Boston Red Sox,Baltimore Orioles,3,0
2025-04-02,778482,1,Colorado Rockies,Philadelphia Phillies,5,Philadelphia Phillies,Colorado Rockies,5,1
2025-04-02,778484,4,Arizona Diamondbacks,New York Yankees,3,Arizona Diamondbacks,New York Yankees,4,3
2025-04-02,778472,5,Atlanta Braves,Los Angeles Dodgers,6,Los Angeles Dodgers,Atlanta Braves,6,5
2025-04-03,778470,8,Boston Red Sox,Baltimore Orioles,4,Boston Red Sox,Baltimore Orioles,8,4
2025-04-03,778467,1,Colorado Rockies,Philadelphia Phillies,3,Philadelphia Phillies,Colorado Rockies,3,1
2025-04-03,778462,5,Houston Astros,Minnesota Twins,2,Houston Astros,Minnesota Twins,5,2
2025-04-03,778466,7,Arizona Diamondbacks,New York Yankees,9,New York Yankees,Arizona Diamondbacks,9,7
2025-04-03,778468,0,Cincinnati Reds,Milwaukee Brewers,1,Milwaukee Brewers,Cincinnati Reds,1,0
2025-04-04,778458,4,Chicago White Sox,Detroit Tigers,7,Detroit Tigers,Chicago White Sox,7,4
2025-04-04,778463,9,St. Louis Cardinals,Boston Red Sox,13,Boston Red Sox,St. Louis Cardinals,13,9
2025-04-04,778460,1,San Diego Padres,Chicago Cubs,3,Chicago Cubs,San Diego Padres,3,1
2025-04-04,778465,0,Toronto Blue Jays,New York Mets,5,New York Mets,Toronto Blue Jays,5,0
2025-04-04,778456,6,Athletics,Colorado Rockies,3,Athletics,Colorado Rockies,6,3
2025-04-04,778461,9,New York Yankees,Pittsburgh Pirates,4,New York Yankees,Pittsburgh Pirates,9,4
2025-04-04,778444,9,Seattle Mariners,San Francisco Giants,10,San Francisco Giants,Seattle Mariners,10,9
2025-04-04,778457,6,Arizona Diamondbacks,Washington Nationals,4,Arizona Diamondbacks,Washington Nationals,6,4
2025-04-04,778459,2,Los Angeles Dodgers,Philadelphia Phillies,3,Philadelphia Phillies,Los Angeles Dodgers,3,2
2025-04-04,778464,0,Miami Marlins,Atlanta Braves,10,Atlanta Braves,Miami Marlins,10,0
2025-04-04,778455,2,Baltimore Orioles,Kansas City Royals,8,Kansas City Royals,Baltimore Orioles,8,2
2025-04-04,778454,2,Tampa Bay Rays,Texas Rangers,5,Texas Rangers,Tampa Bay Rays,5,2
2025-04-04,778453,2,Cincinnati Reds,Milwaukee Brewers,3,Milwaukee Brewers,Cincinnati Reds,3,2
2025-04-04,778447,8,Cleveland Guardians,Los Angeles Angels,6,Cleveland Guardians,Los Angeles Angels,8,6
2025-04-05,778445,2,Chicago White Sox,Detroit Tigers,7,Detroit Tigers,Chicago White Sox,7,2
2025-04-05,778440,1,Houston Astros,Minnesota Twins,6,Minnesota Twins,Houston Astros,6,1
2025-04-05,778450,1,San Diego Padres,Chicago Cubs,7,Chicago Cubs,San Diego Padres,7,1
2025-04-05,778452,3,Arizona Diamondbacks,Washington Nationals,4,Washington Nationals,Arizona Diamondbacks,4,3
2025-04-05,778448,3,Los Angeles Dodgers,Philadelphia Phillies,1,Los Angeles Dodgers,Philadelphia Phillies,3,1
2025-04-05,778449,10,New York Yankees,Pittsburgh Pirates,4,New York Yankees,Pittsburgh Pirates,10,4
2025-04-05,778441,8,Baltimore Orioles,Kansas City Royals,1,Baltimore Orioles,Kansas City Royals,8,1
2025-04-05,778438,4,Tampa Bay Rays,Texas Rangers,6,Texas Rangers,Tampa Bay Rays,6,4
2025-04-05,778446,2,Toronto Blue Jays,New York Mets,3,New York Mets,Toronto Blue Jays,3,2
2025-04-05,778439,11,Cincinnati Reds,Milwaukee Brewers,7,Cincinnati Reds,Milwaukee Brewers,11,7
2025-04-05,778451,4,Miami Marlins,Atlanta Braves,0,Miami Marlins,Atlanta Braves,4,0
2025-04-05,778442,7,Athletics,Colorado Rockies,4,Athletics,Colorado Rockies,7,4
2025-04-05,778436,1,Seattle Mariners,San Francisco Giants,4,San Francisco Giants,Seattle Mariners,4,1
2025-04-05,778437,4,Cleveland Guardians,Los Angeles Angels,10,Los Angeles Angels,Cleveland Guardians,10,4
2025-04-06,778429,4,Arizona Diamondbacks,Washington Nationals,5,Washington Nationals,Arizona Diamondbacks,5,4
2025-04-06,778443,4,St. Louis Cardinals,Boston Red Sox,5,Boston Red Sox,St. Louis Cardinals,5,4
2025-04-06,778432,7,St. Louis Cardinals,Boston Red Sox,18,Boston Red Sox,St. Louis Cardinals,18,7
2025-04-06,778434,7,Los Angeles Dodgers,Philadelphia Phillies,8,Philadelphia Phillies,Los Angeles Dodgers,8,7
2025-04-06,778428,4,New York Yankees,Pittsburgh Pirates,5,Pittsburgh Pirates,New York Yankees,5,4
2025-04-06,778435,1,Toronto Blue Jays,New York Mets,2,New York Mets,Toronto Blue Jays,2,1
2025-04-06,778433,3,Chicago White Sox,Detroit Tigers,4,Detroit Tigers,Chicago White Sox,4,3
2025-04-06,778422,1,Baltimore Orioles,Kansas City Royals,4,Kansas City Royals,Baltimore Orioles,4,1
2025-04-06,778419,9,Houston Astros,Minnesota Twins,7,Houston Astros,Minnesota Twins,9,7
2025-04-06,778421,2,Cincinnati Reds,Milwaukee Brewers,8,Milwaukee Brewers,Cincinnati Reds,8,2
2025-04-06,778430,8,San Diego Padres,Chicago Cubs,7,San Diego Padres,Chicago Cubs,8,7
2025-04-06,778420,3,Tampa Bay Rays,Texas Rangers,4,Texas Rangers,Tampa Bay Rays,4,3
2025-04-06,778423,5,Athletics,Colorado Rockies,12,Colorado Rockies,Athletics,12,5
